Gene	AFFY_ID	CX3CR1pos	CX3CR1neg	CD4	Doublenegative	Genetype
IRF8	1416714_at	1408	13284	616	4847	Transcription factor
Id2	1422537_a_at	55	1161	354	481	Transcription factor
Notch4	1449146_at		545			Transcription factor
Tlr3	1422782_s_at	98	1337		214	Toll-like receptor
Tlr12	1438329_at		196			Toll-like receptor
DEC205	1449328_at		135			Membrane protein
CD103	1449216_at		1130			Membrane protein
Langerin	1425243_at		724			Membrane protein
CD36	1450883_a_at	57	1454		165	Membrane protein
IL12p40	1449497_at		165			Cytokine
IL15	1418219_at		191			Cytokine
CD86	1420404_at	312	3099	811	1071	Costimulation
CD81	1416330_at	786	4819	1712	587	Costimulation
XCR1	1422294_at		519			Chemokine
Cxcl9	1418652_at	506.2	4429.6	447.2	800.4	Chemokine
Cxcr3	1449925_at	121.9	1819	229.4	311.4	Chemokine
CystC	1426195_a_at	3459	12870	3533	5790	Other
CD1d1	1449130_at	382	1506	515	552	Other
Ppt1	1422468_at	302	5708	326	921	Other
