ProbeSet	Symbol	SAMSCORE
207801_s_at	RNF10	2.19
210046_s_at	IDH2	2.19
218563_at	NDUFA3	2.19
219119_at	LSM8	2.19
229120_s_at	CDC42SE1	2.19
213225_at	PPM1B	2.19
210951_x_at	RAB27A	2.19
201864_at	GDI1	2.19
225823_at	QIL1	2.19
214363_s_at	MATR3	2.19
200788_s_at	PEA15	2.19
213828_x_at	H3F3A///LOC440926	2.19
201987_at	THRAP1	2.19
231714_s_at	AP4B1	2.18
212036_s_at	PNN	2.18
208716_s_at	TMCO1	2.18
209695_at	PTP4A3	2.18
223576_at	C6orf203	2.18
200036_s_at	RPL10A	2.18
228318_s_at	FLJ34443	2.18
227677_at	JAK3	2.18
203707_at	ZNF263	2.18
204246_s_at	DCTN3	2.18
230742_at	NA	2.18
202431_s_at	MYC	2.18
57082_at	LDLRAP1	2.18
212378_at	GART	2.18
205022_s_at	CHES1	2.18
203285_s_at	HS2ST1	2.17
228768_at	KIAA1961	2.17
226277_at	COL4A3BP	2.17
200066_at	IK	2.17
201293_x_at	PPIA	2.17
209066_x_at	UQCRB	2.17
212455_at	YT521	2.17
200920_s_at	BTG1	2.17
227765_at	NA	2.17
223068_at	EML4	2.17
201406_at	RPL36A	2.17
225083_at	C6orf51	2.17
212699_at	SCAMP5	2.17
204053_x_at	PTEN	2.17
214080_x_at	PRKCSH	2.17
242606_at	NA	2.17
229711_s_at	MGC5370	2.16
219869_s_at	SLC39A8	2.16
226538_at	MAN2A1	2.16
201528_at	RPA1	2.16
201290_at	SEC11L1	2.16
239629_at	CFLAR	2.16
200021_at	CFL1	2.16
221897_at	TRIM52	2.16
209448_at	HTATIP2	2.16
226511_at	NA	2.16
224867_at	C1orf151	2.16
210908_s_at	PFDN5	2.16
235427_at	NA	2.16
212802_s_at	GAPVD1	2.16
201641_at	BST2	2.16
212536_at	ATP11B	2.16
225967_s_at	LOC284184	2.16
212082_s_at	MYL6	2.16
228751_at	CLK4	2.16
212010_s_at	H41	2.16
35974_at	LRMP	2.15
212270_x_at	RPL17	2.15
222423_at	NDFIP1	2.15
217802_s_at	NUCKS1	2.15
201254_x_at	RPS6	2.15
225509_at	LOC56757	2.15
210705_s_at	TRIM5	2.15
208718_at	DDX17	2.15
229410_at	PAEP	2.15
200657_at	SLC25A5	2.15
225332_at	KRTAP4-7	2.15
222986_s_at	SCOTIN	2.15
220746_s_at	RAP80	2.15
221522_at	ANKRD27	2.14
202688_at	TNFSF10	2.14
224890_s_at	LOC389541	2.14
212534_at	ZNF24	2.14
222229_x_at	RPL26	2.14
201558_at	RAE1	2.14
214152_at	PIGB	2.14
218852_at	C14orf10	2.14
218048_at	COMMD3	2.14
201409_s_at	PPP1CB	2.14
212483_at	NIPBL	2.14
200015_s_at	NA--	2.14
203513_at	FLJ21439	2.14
222533_at	CRBN	2.14
209563_x_at	CALM1	2.13
208909_at	UQCRFS1	2.13
226923_at	SCFD2	2.13
225260_s_at	MRPL32	2.13
224692_at	PPP1R15B	2.13
226831_at	LOC91137	2.13
212060_at	SR140	2.13
213603_s_at	RAC2	2.13
221493_at	TSPYL1	2.13
217939_s_at	AFTIPHILIN	2.12
200704_at	LITAF	2.12
225763_at	RCSD1	2.12
213754_s_at	PAIP1	2.12
223005_s_at	C9orf5	2.12
212661_x_at	PPIA	2.11
201244_s_at	RAF1	2.11
230669_at	RASA2	2.11
207040_s_at	ST13	2.11
221865_at	C9orf91	2.11
223682_s_at	MGC11102	2.11
224675_at	MESDC2	2.11
214662_at	WDR43	2.11
226426_at	ADNP	2.11
208768_x_at	RPL22	2.1
213361_at	TDRD7	2.1
226140_s_at	OTUD1	2.1
225927_at	MAP3K1	2.1
202659_at	PSMB10	2.1
208979_at	NCOA6	2.1
202519_at	MONDOA	2.1
224561_s_at	MORF4L1	2.1
201762_s_at	PSME2	2.1
208655_at	CCNI	2.1
227525_at	GLCCI1	2.1
227132_at	LOC51123	2.1
208610_s_at	SRRM2	2.1
217398_x_at	GAPDH	2.1
211978_x_at	PPIA	2.09
225112_at	ABI2	2.09
209084_s_at	RAB28	2.09
227346_at	ZNFN1A1	2.09
218740_s_at	CDK5RAP3	2.09
200976_s_at	TAX1BP1	2.09
216652_s_at	DR1	2.09
208809_s_at	C6orf62	2.09
209648_x_at	SOCS5	2.09
203200_s_at	MTRR	2.09
201381_x_at	CACYBP	2.08
203028_s_at	CYBA	2.08
213101_s_at	ACTR3	2.08
201060_x_at	STOM	2.08
200963_x_at	RPL31	2.08
226652_at	USP3	2.08
213786_at	NA	2.08
227499_at	NA	2.08
224755_at	SMBP	2.08
212914_at	CBX7	2.08
214288_s_at	PSMB1	2.08
212242_at	TUBA1	2.08
229513_at	STRBP	2.08
202395_at	NSF	2.08
234873_x_at	RPL7A	2.08
222982_x_at	SLC38A2	2.08
201930_at	MCM6	2.08
201782_s_at	AIP	2.08
217961_at	FLJ20551	2.08
200994_at	IPO7	2.08
220306_at	FAM46C	2.08
1569349_at	C11orf30	2.07
201318_s_at	MRCL3///MRLC2	2.07
210588_x_at	HNRPH3	2.07
203943_at	KIF3B	2.07
221652_s_at	C12orf11	2.07
232511_at	RANBP2L1	2.07
221726_at	RPL22	2.07
215671_at	PDE4B	2.07
218387_s_at	PGLS	2.07
212891_s_at	GADD45GIP1	2.07
203023_at	HSPC111	2.07
212846_at	KIAA0179	2.07
229872_s_at	LOC440667///LOC440669///LOC440688	2.07
222444_at	ARMCX3	2.07
200792_at	XRCC6	2.07
200750_s_at	RAN	2.07
201620_at	MBTPS1	2.07
205684_s_at	C9orf55	2.06
213694_at	RSBN1	2.06
226382_at	LOC283070	2.06
210580_x_at	SULT1A3///SULT1A4	2.06
227224_at	RALGPS2	2.06
200809_x_at	RPL12	2.06
201567_s_at	GOLGA4	2.06
212040_at	TGOLN2	2.06
202300_at	HBXIP	2.06
200726_at	PPP1CC	2.06
213016_at	BBX	2.06
225225_at	NA	2.05
228106_at	FLJ20280	2.05
213294_at	FLJ38348	2.05
202642_s_at	TRRAP	2.05
211529_x_at	HLA-G	2.05
225866_at	BXDC1	2.05
228173_at	GNAS	2.05
200692_s_at	HSPA9B	2.05
201361_at	MGC5508	2.05
200825_s_at	HYOU1	2.05
208648_at	VCP	2.05
224587_at	PC4	2.05
200062_s_at	RPL30	2.05
203143_s_at	KIAA0040	2.05
1559942_at	NA	2.04
224502_s_at	KIAA1191	2.04
225472_at	BAT4	2.04
218543_s_at	PARP12	2.04
201051_at	ANP32A	2.04
225581_s_at	MRPL50	2.04
205042_at	GNE	2.04
207585_s_at	RPL36AL	2.04
221230_s_at	ARID4B	2.04
212179_at	C6orf111	2.04
217848_s_at	PP	2.04
1556285_s_at	PPA2	2.04
200910_at	CCT3	2.04
212815_at	ASCC3	2.04
213567_at	NA	2.03
208773_s_at	ANKHD1///MASK-BP3	2.03
209199_s_at	MEF2C	2.03
217492_s_at	PTENP1	2.03
227421_at	C21orf57	2.03
202466_at	POLS	2.03
200992_at	IPO7	2.03
225235_at	TSPAN17	2.03
218041_x_at	SLC38A2	2.03
228370_at	SNRPN	2.03
225932_s_at	HNRPA2B1	2.03
224591_at	HP1BP3	2.03
202621_at	IRF3	2.03
223436_s_at	MGC11134	2.02
218422_s_at	C13orf10	2.02
221452_s_at	TMEM14B	2.02
233746_x_at	SERF2///HYPK	2.02
202336_s_at	PAM	2.02
226589_at	FLJ38482	2.02
212721_at	SFRS12	2.02
226413_at	LOC400027	2.02
212117_at	RHOQ	2.02
225158_at	GFM1	2.02
203983_at	TSNAX	2.02
209067_s_at	HNRPDL	2.02
218084_x_at	FXYD5	2.02
217752_s_at	CNDP2	2.02
202302_s_at	FLJ11021	2.01
235775_at	DKFZp762A217	2.01
231850_x_at	KIAA1712	2.01
209358_at	TAF11	2.01
209610_s_at	SLC1A4	2.01
218034_at	TTC11	2.01
218674_at	FLJ13611	2.01
225116_at	HIPK2	2.01
208891_at	DUSP6	2.01
205596_s_at	SMURF2	2.01
201011_at	RPN1	2.01
225397_at	MGC20481	2.01
222708_s_at	STX17	2.01
217950_at	NOSIP	2
226773_at	NA	2
218501_at	ARHGEF3	2
200030_s_at	SLC25A3	2
213440_at	RAB1A	2
224879_at	C9orf123	2
223288_at	USP38	2
230792_at	FLJ31204	2
212953_x_at	CALR	2
202001_s_at	NDUFA6	2
229146_at	C7orf31	2
228972_at	NA	2
225995_x_at	MGC52000	2
221775_x_at	RPL22	2
217880_at	CDC27	1.99
218356_at	FTSJ2	1.99
214661_s_at	C4orf9	1.99
223190_s_at	MLL5	1.99
224566_at	TncRNA	1.99
225120_at	PURB	1.99
208127_s_at	SOCS5	1.99
203697_at	FRZB	1.99
228084_at	NA	1.99
208619_at	DDB1	1.99
218703_at	SEC22L2	1.99
223106_at	TMEM14C	1.99
203646_at	FDX1	1.98
206332_s_at	IFI16	1.98
203216_s_at	MYO6	1.98
239735_at	NA	1.98
214459_x_at	HLA-C	1.98
233759_s_at	KIAA1387	1.98
235587_at	LOC202781	1.98
231839_at	2-PDE	1.98
213214_x_at	ACTG1	1.98
203837_at	MAP3K5	1.98
208929_x_at	RPL13	1.98
200777_s_at	BZW1	1.98
208763_s_at	TSC22D3	1.98
215157_x_at	PABPC1	1.97
208051_s_at	PAIP1	1.97
214736_s_at	ADD1	1.97
218395_at	ACTR6	1.97
202170_s_at	AASDHPPT	1.97
225768_at	NR1D2	1.97
204258_at	CHD1	1.97
207318_s_at	CDC2L5	1.97
217834_s_at	SYNCRIP	1.97
225136_at	PLEKHA2	1.97
226979_at	MAP3K2	1.97
238465_at	MGC33648	1.97
201359_at	COPB	1.97
220367_s_at	SAP130	1.97
209265_s_at	METTL3	1.97
213730_x_at	TCF3	1.97
208308_s_at	GPI	1.97
226115_at	AHCTF1	1.97
209023_s_at	STAG2	1.97
225706_at	GLCCI1	1.96
209180_at	RABGGTB	1.96
203804_s_at	CROP	1.96
224621_at	NA	1.96
40225_at	GAK	1.96
209200_at	MEF2C	1.96
223474_at	C14orf4	1.96
208946_s_at	BECN1	1.96
201055_s_at	HNRPA0	1.96
224718_at	SLC25A29	1.96
218259_at	MKL2	1.96
201960_s_at	MYCBP2	1.96
201061_s_at	STOM	1.96
212601_at	ZZEF1	1.96
212099_at	RHOB	1.96
236125_at	DKFZp586I1420	1.96
202371_at	TCEAL4	1.96
200086_s_at	COX4I1	1.96
227455_at	C6orf136	1.95
206342_x_at	IDS	1.95
202957_at	HCLS1	1.95
223423_at	GPR160	1.95
200705_s_at	EEF1B2	1.95
224516_s_at	CXXC5	1.95
208948_s_at	STAU	1.95
210211_s_at	HSPCA	1.95
224889_at	FOXO3A	1.95
210649_s_at	ARID1A	1.95
222550_at	ARMC1	1.95
224129_s_at	LOC84661	1.95
201152_s_at	MBNL1	1.95
222998_at	MAF1	1.95
205072_s_at	XRCC4	1.95
233124_s_at	ECHDC1	1.95
213390_at	C19orf7	1.94
212648_at	DHX29	1.94
201863_at	FAM32A	1.94
218226_s_at	NDUFB4	1.94
224331_s_at	MRPL36	1.94
201273_s_at	SRP9	1.94
222199_s_at	BIN3	1.94
203359_s_at	MYCBP	1.94
224617_at	NA	1.94
201857_at	ZFR	1.94
202745_at	USP8	1.94
218166_s_at	HBXAP	1.94
202160_at	CREBBP	1.93
203569_s_at	OFD1	1.93
211271_x_at	PTBP1	1.93
201345_s_at	UBE2D2	1.93
213366_x_at	ATP5C1	1.93
217887_s_at	EPS15	1.93
214730_s_at	GLG1	1.93
206513_at	AIM2	1.93
226251_at	NA	1.93
231035_s_at	OTUD1	1.93
203284_s_at	HS2ST1	1.93
208722_s_at	ANAPC5	1.93
39582_at	CYLD	1.93
1567214_a_at	PNN	1.93
202031_s_at	WIPI-2	1.93
217730_at	PP1201	1.93
201197_at	AMD1	1.93
222621_at	DNAJC1	1.93
202653_s_at	NA-	1.93
217900_at	IARS2	1.93
239377_at	MGC11102	1.93
201463_s_at	TALDO1	1.93
221532_s_at	WDR61	1.92
228095_at	PHF14	1.92
209580_s_at	MBD4	1.92
215023_s_at	PEX1	1.92
211986_at	AHNAK	1.92
225686_at	FAM33A	1.92
207127_s_at	HNRPH3	1.92
201603_at	PPP1R12A	1.92
202318_s_at	SENP6	1.92
219363_s_at	MTERFD1	1.91
224831_at	CPEB4	1.91
200088_x_at	RPL12	1.91
212053_at	KIAA0251	1.91
223396_at	TMEM60	1.91
226694_at	PALM2-AKAP2	1.91
221488_s_at	C6orf82	1.91
206240_s_at	ZNF136	1.91
202042_at	HARS	1.91
220525_s_at	AUP1	1.91
218403_at	P53CSV	1.91
1554089_s_at	SBDS///SBDSP	1.91
208826_x_at	HINT1	1.9
205480_s_at	UGP2	1.9
201748_s_at	SAFB	1.9
215780_s_at	SET	1.9
212635_at	TNPO1	1.9
213879_at	SUMO2	1.9
203613_s_at	NDUFB6	1.9
213503_x_at	ANXA2	1.9
213086_s_at	CSNK1A1	1.9
224967_at	UGCG	1.9
217958_at	TRAPPC4	1.9
202424_at	MAP2K2	1.9
208904_s_at	RPS28	1.9
230078_at	KIAA1961	1.9
213453_x_at	GAPDH	1.9
201692_at	OPRS1	1.9
200049_at	MYST2	-2.12
210561_s_at	WSB1	-2.12
1552612_at	CDC42SE2	-2.12
63009_at	SHQ1	-2.13
225673_at	MYADM	-2.13
212370_x_at	FAM21B	-2.13
38710_at	OTUB1	-2.13
1566003_x_at	NA	-2.13
241490_s_at	NA	-2.13
208730_x_at	RAB2	-2.14
232749_at	RAB12	-2.14
207665_at	ADAM21	-2.14
228565_at	KIAA1804	-2.14
205140_at	FPGT	-2.14
241202_at	GALNT10	-2.15
225897_at	MARCKS	-2.15
203363_s_at	KIAA0652	-2.15
218091_at	HRB	-2.15
1557810_at	CCT5	-2.15
234143_at	NA	-2.16
224630_at	C2orf30	-2.16
226198_at	TOM1L2	-2.16
209136_s_at	USP10	-2.16
223602_at	USP30	-2.16
212625_at	STX10	-2.16
201494_at	PRCP	-2.17
217540_at	NA	-2.17
207408_at	SLC22A14	-2.17
202919_at	PREI3	-2.18
218021_at	DHRS4	-2.18
211693_at	MGC27165	-2.18
1552632_a_at	KIAA1001	-2.19
211754_s_at	SLC25A17	-2.19
222699_s_at	PLEKHF2	-2.19
209782_s_at	DBP	-2.19
242895_x_at	RNF39	-2.19
201830_s_at	NET1	-2.2
244016_at	NA	-2.2
230648_at	LOC283663	-2.21
232066_x_at	MGC21675	-2.21
211543_s_at	GRK6	-2.21
219180_s_at	PEX26	-2.21
47560_at	LPHN1	-2.21
1553153_at	ATP6V0D2	-2.21
206846_s_at	HDAC6	-2.22
242787_at	INCENP	-2.22
211416_x_at	GGTLA4	-2.22
201647_s_at	SCARB2	-2.22
218218_at	DIP13B	-2.22
224560_at	TIMP2	-2.22
1561683_at	NA	-2.22
228003_at	RAB30	-2.23
1566002_at	NA	-2.23
239960_x_at	NA	-2.24
230592_at	C1orf48	-2.24
208704_x_at	APLP2	-2.25
206478_at	KIAA0125	-2.25
218582_at	MAR5	-2.25
211610_at	KLF6	-2.25
229693_at	LOC388335	-2.25
234974_at	GALM	-2.26
213957_s_at	CAP350	-2.26
225263_at	HS6ST1	-2.26
223650_s_at	NRBF2	-2.26
1570248_at	GNB1	-2.26
231449_at	NA	-2.27
227143_s_at	BID	-2.27
202902_s_at	CTSS	-2.27
209379_s_at	KIAA1128	-2.27
218866_s_at	POLR3K	-2.27
240015_at	NA	-2.27
211935_at	ARL6IP	-2.28
228240_at	NA	-2.28
202092_s_at	ARL2BP	-2.28
236539_at	PTPN22	-2.28
228906_at	CXXC6	-2.28
209882_at	RIT1	-2.28
223356_s_at	MTIF3	-2.29
243148_at	TJP2	-2.29
225756_at	CSNK1E	-2.29
232264_at	EDD	-2.29
218888_s_at	NETO2	-2.29
235648_at	ZNF567	-2.29
203967_at	CDC6	-2.29
37232_at	KIAA0586	-2.3
225042_s_at	C12orf22	-2.3
224405_at	FCRL5	-2.3
211945_s_at	ITGB1	-2.3
208832_at	ATXN10	-2.3
226580_at	BRMS1L	-2.3
205550_s_at	BRE	-2.31
37170_at	BMP2K	-2.31
205698_s_at	MAP2K6	-2.31
50314_i_at	C20orf27	-2.32
229465_s_at	PTPRS	-2.32
218173_s_at	WHSC1L1	-2.32
211068_x_at	FAM21C///LOC439973	-2.32
222657_s_at	FLJ11011	-2.33
219675_s_at	UXS1	-2.33
232471_at	MYO1E	-2.33
1557276_at	NA	-2.33
211630_s_at	GSS	-2.33
212293_at	HIPK1	-2.33
1559052_s_at	PAK2	-2.33
210284_s_at	MAP3K7IP2	-2.34
231106_at	LOC255326	-2.34
52741_at	C14orf172	-2.34
205745_x_at	ADAM17	-2.35
221006_s_at	SNX27	-2.35
211074_at	FOLR1	-2.36
200928_s_at	RAB14	-2.36
238675_x_at	MGC23908	-2.37
204903_x_at	APG4B	-2.38
244764_at	HIVEP3	-2.38
1554167_a_at	GOLGA7	-2.38
227035_x_at	LOC441212	-2.39
213340_s_at	KIAA0495	-2.4
235479_at	CPEB2	-2.4
238437_at	LOC390980	-2.4
226354_at	LACTB	-2.4
1562476_at	RAD51	-2.4
224555_x_at	IL1F7	-2.4
211734_s_at	FCER1A	-2.4
208540_x_at	S100A11	-2.4
208733_at	RAB2	-2.4
227125_at	IFNAR2	-2.41
239084_at	SNAP29	-2.41
201050_at	PLD3	-2.41
204565_at	THEM2	-2.41
37793_r_at	RAD51L3	-2.41
223228_at	LDOC1L	-2.41
1568678_s_at	FGFR1OP	-2.42
1554344_s_at	AQP12B///AQP12A	-2.42
206468_s_at	KIAA0859	-2.42
1557818_x_at	NA	-2.42
215521_at	PHC3	-2.42
210935_s_at	WDR1	-2.42
226887_at	HSPA14	-2.43
202535_at	FADD	-2.43
1568696_at	ARMETL1	-2.43
235258_at	DCP2	-2.44
219095_at	PLA2G4B	-2.44
218725_at	SLC25A22	-2.45
204624_at	ATP7B	-2.45
238035_at	SP3	-2.45
244022_at	FNDC3B	-2.45
205372_at	PLAG1	-2.46
222441_x_at	C20orf45	-2.46
215528_at	NA	-2.46
238795_at	C10orf18	-2.46
241996_at	NA	-2.46
1553678_a_at	ITGB1	-2.47
215032_at	RREB1	-2.47
1562256_at	NALP1	-2.48
224886_at	LOC339123	-2.48
214582_at	PDE3B	-2.48
209964_s_at	ATXN7	-2.48
222207_x_at	NA	-2.48
215177_s_at	ITGA6	-2.48
230082_at	LRRFIP2	-2.48
232440_at	ZDHHC13	-2.48
218871_x_at	GALNACT-2	-2.48
203266_s_at	MAP2K4	-2.48
202805_s_at	ABCC1	-2.49
222955_s_at	FAM45B///FAM45A	-2.49
223354_x_at	C2orf33	-2.5
215758_x_at	ZNF505	-2.5
227338_at	LOC440983	-2.5
212835_at	KIAA0157	-2.51
202510_s_at	TNFAIP2	-2.51
217499_x_at	OR7E37P	-2.51
201775_s_at	KIAA0494	-2.52
206194_at	HOXC4///FLJ12825	-2.52
1557193_at	PTPN2	-2.52
243913_at	MYOM2	-2.53
212311_at	KIAA0746	-2.53
36907_at	MVK	-2.53
220701_at	NA	-2.53
242876_at	NA	-2.54
238075_at	NA	-2.54
230376_at	GTF2A2	-2.54
219648_at	DSU	-2.54
213002_at	MARCKS	-2.54
212314_at	KIAA0746	-2.55
202749_at	WRB	-2.55
229933_at	C1orf74	-2.55
213106_at	ATP8A1	-2.55
222732_at	TRIM39	-2.56
222235_s_at	GALNACT-2	-2.56
1553535_a_at	RANGAP1	-2.57
1553239_at	FLJ30707	-2.57
218297_at	C10orf97	-2.57
218043_s_at	AZI2	-2.57
224377_s_at	RAB18	-2.57
203883_s_at	RAB11FIP2	-2.58
1561571_at	LOC389183	-2.58
220865_s_at	TPRT	-2.58
1563772_a_at	LAMA3	-2.58
224404_s_at	FCRL5	-2.59
203158_s_at	GLS	-2.59
226272_at	NA	-2.59
241429_at	NA	-2.59
206218_at	MAGEB2	-2.61
1557986_s_at	ATP6V0C///SHMT1	-2.61
241844_x_at	FLJ23235	-2.61
202317_s_at	UBE4B	-2.61
232922_s_at	C20orf59	-2.62
223945_x_at	LOC441212	-2.62
234464_s_at	EME1	-2.62
232422_at	LOC87769	-2.62
234634_at	EXT1	-2.63
238029_s_at	SLC16A14	-2.63
228139_at	RIPK3	-2.63
221419_s_at	NA	-2.63
230651_at	THOC2	-2.64
207265_s_at	KDELR3	-2.64
220949_s_at	MGC5242	-2.64
235749_at	UGCGL2	-2.64
206632_s_at	APOBEC3B	-2.65
32811_at	MYO1C	-2.65
1554757_a_at	INPP5A	-2.65
218967_s_at	PTER	-2.66
211089_s_at	NEK3	-2.66
202075_s_at	PLTP	-2.66
200709_at	FKBP1A	-2.66
1556345_s_at	MCCC2	-2.66
229466_at	LOC256273	-2.67
224806_at	TRIM25	-2.67
201739_at	SGK	-2.68
210001_s_at	SOCS1	-2.69
215376_at	NA	-2.7
202894_at	EPHB4	-2.7
202120_x_at	AP2S1	-2.7
235055_x_at	MUC4	-2.71
218322_s_at	ACSL5	-2.71
1560386_at	XPO1	-2.72
38964_r_at	WAS	-2.72
37425_g_at	CCHCR1	-2.72
217975_at	WBP5	-2.72
219731_at	FLJ34077	-2.72
1555820_a_at	FLJ20345	-2.73
243830_at	NA	-2.73
208732_at	RAB2	-2.74
206066_s_at	RAD51C	-2.74
1553048_a_at	PIP5K2B	-2.75
1557966_x_at	MTERFD2	-2.75
227090_at	PHF21A	-2.75
1558166_at	MGC16275	-2.75
217104_at	LOC400410	-2.75
219870_at	ATF7IP2	-2.75
215207_x_at	YDD19	-2.76
215764_x_at	AP2A2	-2.76
234609_at	PRKCE	-2.76
214869_x_at	GAPVD1	-2.77
1570360_s_at	DDX3Y	-2.77
206263_at	FMO4	-2.77
1555916_at	RPUSD3	-2.77
241669_x_at	PRKD2	-2.78
38069_at	CLCN7	-2.79
203851_at	IGFBP6	-2.8
235366_at	ZNF10	-2.8
202881_x_at	NA	-2.8
225585_at	RAP2A	-2.81
1552863_a_at	CACNG6	-2.81
230769_at	FLJ37099	-2.81
204906_at	RPS6KA2	-2.82
201360_at	CST3	-2.82
221498_at	SNX27	-2.83
1555860_x_at	NA	-2.84
238004_at	PGBD2	-2.84
235882_at	NA	-2.84
226664_at	TBC1D20	-2.85
1568713_a_at	TBC1D1	-2.85
230448_at	MGC15523	-2.85
218662_s_at	HCAP-G	-2.86
243522_at	SPPL3	-2.86
230042_at	NA	-2.86
206686_at	PDK1	-2.87
226571_s_at	PTPRS	-2.87
1568887_at	NA	-2.88
239349_at	C1QTNF7	-2.88
225656_at	EFHC1	-2.89
225172_at	CRAMP1L	-2.89
203278_s_at	PHF21A	-2.89
214706_at	ZNF200	-2.9
213587_s_at	ATP6V0E2L	-2.9
209474_s_at	ENTPD1	-2.92
225754_at	AP1G1	-2.93
1560290_at	NA	-2.94
240062_at	FAM3C	-2.94
1553112_s_at	CDK8	-2.94
1563646_a_at	MGC26979	-2.94
233361_at	ANKRD44	-2.95
215946_x_at	LOC91353	-2.95
219570_at	C20orf23	-2.95
221590_s_at	ALDH6A1	-2.96
202641_at	ARL3	-2.96
210731_s_at	LGALS8	-2.96
217597_x_at	RAB40B	-2.97
204079_at	TPST2	-2.97
209766_at	PRDX3	-2.97
243986_at	LOC144766	-2.98
1557586_s_at	ATP6V1H	-2.98
121_at	PAX8	-2.99
205197_s_at	ATP7A	-2.99
216253_s_at	PARVB	-2.99
232366_at	KIAA0232	-2.99
235299_at	NA	-2.99
202292_x_at	LYPLA2///LYPLA2P1///LOC388499	-3
238846_at	TNFRSF11A	-3
231002_s_at	NUP88	-3.01
203418_at	CCNA2	-3.01
1554518_at	FLJ13273	-3.02
229351_at	C6orf49	-3.02
233168_s_at	SELO	-3.03
229821_at	NBR2	-3.04
213264_at	PCBP2	-3.04
229637_at	hSyn	-3.04
227885_at	PRO1768	-3.05
1553088_a_at	BCL2L11	-3.06
244357_at	LOC64744	-3.06
233055_at	NA	-3.06
1568408_x_at	NA	-3.07
207543_s_at	P4HA1	-3.07
1554582_a_at	MGC50559	-3.07
239267_at	NA	-3.07
1560826_at	NA	-3.07
221951_at	LOC283232	-3.09
208591_s_at	PDE3B	-3.09
31861_at	IGHMBP2	-3.09
211433_x_at	KIAA1539	-3.1
214462_at	SOCS6	-3.1
238025_at	MLKL	-3.11
1554769_at	FLJ32130	-3.11
214119_s_at	FKBP1A	-3.12
225226_at	FAM40A	-3.12
43934_at	C11ORF4	-3.12
209416_s_at	FZR1	-3.12
217706_at	LOC220074	-3.12
229835_s_at	C20orf45	-3.13
239725_at	PGAP1	-3.14
202403_s_at	COL1A2	-3.14
210186_s_at	FKBP1A	-3.14
237187_at	NA	-3.14
240979_at	NA	-3.15
1560981_a_at	PPARA	-3.17
217994_x_at	CPSF3L	-3.17
223798_at	SLC41A2	-3.18
219330_at	VANGL1	-3.18
1570249_x_at	GNB1	-3.2
1557158_s_at	MLL3	-3.21
234575_at	ZNF71	-3.22
1562259_at	TEX9	-3.22
219032_x_at	OPN3	-3.23
58994_at	CC2D1A	-3.23
209467_s_at	MKNK1	-3.24
239314_at	LOC387921	-3.24
218554_s_at	ASH1L	-3.25
219801_at	ZNF34	-3.25
1557890_at	NA	-3.25
228990_at	C1orf79	-3.26
57540_at	RBKS	-3.26
33323_r_at	SFN	-3.28
201029_s_at	CD99	-3.29
212872_s_at	TRFP	-3.3
221569_at	AHI1	-3.31
1554471_a_at	ANKRD13C	-3.32
218273_s_at	PPM2C	-3.33
230108_at	ERCC6	-3.33
221542_s_at	SPFH2	-3.34
206576_s_at	CEACAM1	-3.38
219472_at	MGC11266	-3.38
211152_s_at	PRSS25	-3.38
222252_x_at	UBQLN4///UBQLN4P	-3.39
226457_at	NA	-3.39
220564_at	C10orf59	-3.4
201028_s_at	CD99	-3.4
217128_s_at	CAMK1G	-3.42
1569629_x_at	LOC389906	-3.43
240423_at	NA	-3.46
1553905_at	CXorf22	-3.46
218068_s_at	ZNF672	-3.47
228034_x_at	FLJ20308	-3.48
227986_at	ZNF343	-3.48
210779_x_at	SIP1	-3.48
235089_at	FBXL20	-3.48
242159_at	NA	-3.48
230333_at	SAT	-3.5
37965_at	PARVB	-3.55
242041_at	CSPP	-3.57
1555288_s_at	FBF1	-3.57
243440_at	NA	-3.58
241380_at	FLJ41603	-3.59
241906_at	ZNF15L1	-3.61
200659_s_at	PHB	-3.63
221999_at	VRK3	-3.65
207425_s_at	SEPT9	-3.66
209280_at	MRC2	-3.67
1553002_at	DEFB105A	-3.7
227683_x_at	NUDT4	-3.71
221681_s_at	DSPP	-3.75
215481_s_at	PEX5	-3.75
242956_at	IDH1	-3.76
216491_x_at	IGHM	-3.78
224097_s_at	F11R	-3.81
206150_at	TNFRSF7	-3.82
217111_at	AMACR	-3.83
225105_at	LOC387882	-3.84
211918_x_at	PAPPA2	-3.85
221080_s_at	FAM31C	-3.86
223107_s_at	PS1D	-3.86
227337_at	ANKRD37	-3.91
201801_s_at	SLC29A1	-3.92
1559691_at	NDUFS1	-3.94
209710_at	GATA2	-3.95
1561391_at	STAU2	-3.95
234231_at	LOC197350	-3.96
1557944_s_at	CTNND1	-3.97
203307_at	GNL1	-3.97
229191_at	TBCD	-4
209626_s_at	OSBPL3	-4.02
220066_at	CARD15	-4.02
217462_at	C11orf9	-4.07
203003_at	MEF2D	-4.07
229250_at	TPCN2	-4.08
201849_at	BNIP3	-4.1
222951_s_at	ANKRD5	-4.11
207300_s_at	F7	-4.11
227046_at	SLC39A11	-4.18
220036_s_at	LMBR1L	-4.21
202563_at	C14orf1	-4.3
203093_s_at	TIMM44	-4.35
215410_at	PMS2L1	-4.36
229906_at	ARMC7	-4.41
213249_at	FBXL7	-4.5
233891_at	NA	-4.52
219125_s_at	LOC55974	-4.64
1553793_a_at	KIAA1109	-4.65
1570454_at	EIF4EBP2	-4.7
